ubigeo,g_factor_tasa_paralizacion,g_factor_ratio_sobretiempo_promedio,g_factor_ratio_sobrecosto_promedio,s_factor_total_muertes,s_factor_edad_prom_muerte,s_factor_tasa_prevenibles,g_score,s_score,iris_score,ubigeo_code
ANCASH_ANDAHUAYLAS_SANTA CRUZ,0.0,0.015574097007181,0.0,0.0036931625669173,0.3928621808435604,0.0,0.0051913656690603,0.1321851144701592,0.0686882400696098,
ANCASH_ANDAHUAYLAS_SANTO TORIBIO,0.0,0.0081578603370948,0.0,0.0036931625669173,0.3928621808435604,0.0,0.0027192867790316,0.1321851144701592,0.0674522006245954,
ANCASH_ANDAHUAYLAS_YURACMARCA,0.0,0.0443703710571727,0.0,0.0036931625669173,0.3928621808435604,0.0,0.0147901236857242,0.1321851144701592,0.0734876190779417,
ANCASH_ANTONIO RAYMONDI_ACZO,0.0263157894736842,0.0176216736003126,0.0,0.0036931625669173,0.3928621808435604,0.0,0.0146458210246656,0.1321851144701592,0.0734154677474124,020302
ANCASH_ANTONIO RAYMONDI_CHACCHO,0.0434782608695652,0.0692885748806386,0.0,0.0036931625669173,0.3928621808435604,0.0,0.0375889452500679,0.1321851144701592,0.0848870298601136,020303
ANCASH_ANTONIO RAYMONDI_CHINGAS,0.0588235294117647,0.0543902051875538,0.0005078207825319,0.0036931625669173,0.3928621808435604,0.0,0.0379071851272835,0.1321851144701592,0.0850461497987213,020304
ANCASH_ANTONIO RAYMONDI_LLAMELLIN,0.0,0.0352669269939132,0.0005157025851153,0.0036931625669173,0.3928621808435604,0.0,0.0119275431930095,0.1321851144701592,0.0720563288315844,020301
ANCASH_ANTONIO RAYMONDI_MIRGAS,0.0789473684210526,0.026357522451103,0.0,0.0036931625669173,0.3928621808435604,0.0,0.0351016302907185,0.1321851144701592,0.0836433723804389,020305
ANCASH_ANTONIO RAYMONDI_SAN JUAN DE RONTOY,0.0,0.0548986919503131,0.0,0.0036931625669173,0.3928621808435604,0.0,0.0182995639834377,0.1321851144701592,0.0752423392267984,020306
ANCASH_ASUNCION_ACOCHACA,0.1944444444444444,0.0316713035651985,0.0004572609951069,0.006200447245375,0.3602596183922428,0.0,0.0755243363349166,0.1221533552125393,0.0988388457737279,020402
ANCASH_ASUNCION_CHACAS,0.1153846153846153,0.0591310937739366,0.0002973645903941,0.0071491495561428,0.3779693226550835,0.0,0.058271024582982,0.1283728240704088,0.0933219243266954,020401
ANCASH_BOLOGNESI_ABELARDO PARDO LEZAMETA,0.0,0.0216368704849765,0.0,0.0002032933523073,0.2086330935251799,0.0,0.0072122901616588,0.0696121289591624,0.0384122095604106,020502
ANCASH_BOLOGNESI_ANTONIO RAIMONDI,0.0,0.0343845867240686,0.0,0.0020668157484583,0.1786957530749593,0.0,0.0114615289080228,0.0602541896078058,0.0358578592579143,
ANCASH_BOLOGNESI_AQUIA,0.0344827586206896,0.0394942307014478,0.0,0.002710578030765,0.3713473665512035,0.0,0.0246589964407124,0.1246859815273228,0.0746724889840176,020504
ANCASH_BOLOGNESI_CAJACAY,0.0666666666666666,0.053258944447171,0.0,0.0020329335230737,0.3015685812006132,0.0,0.0399752037046125,0.1012005049078956,0.0705878543062541,020505
ANCASH_BOLOGNESI_CANIS,0.0,0.026465900019584,0.0,0.000304940028461,0.3870503597122303,0.0,0.0088219666731946,0.1291184332468971,0.0689701999600459,020506
ANCASH_BOLOGNESI_CHIQUIAN,0.037037037037037,0.0316447417597547,0.0018337995833518,0.0063020939215287,0.2925018274150732,0.0,0.0235051927933811,0.0996013071122006,0.0615532499527909,020501
ANCASH_BOLOGNESI_COLQUIOC,0.0285714285714285,0.0570602692073442,0.0,0.0017279934946127,0.4034311012728278,0.0,0.0285438992595909,0.1350530315891468,0.0817984654243688,020507
ANCASH_BOLOGNESI_HUALLANCA,0.0294117647058823,0.0294929900499348,0.0004765985397337,0.0069458562038354,0.4330516169588601,0.0,0.0197937844318503,0.1466658243875651,0.0832298044097077,020508
ANCASH_BOLOGNESI_HUASTA,0.08,0.0518580349155777,0.0,0.0022701091007657,0.359923825645366,0.0,0.0439526783051925,0.1207313115820439,0.0823419949436182,020509
ANCASH_BOLOGNESI_HUAYLLACAYAN,0.0285714285714285,0.0271392396272985,0.0,0.0013552890153825,0.2367081944200737,0.0,0.018570222732909,0.0793544944784854,0.0489623586056972,020510
ANCASH_BOLOGNESI_LA PRIMAVERA,0.0,0.0447793915189111,0.0,0.0008809378599986,0.2741806554756194,0.0,0.014926463839637,0.0916871977785393,0.0533068308090882,020511
ANCASH_BOLOGNESI_MANGAS,0.1,0.1074758369572939,0.0,0.0007115267330758,0.2727272727272727,0.0,0.0691586123190979,0.0911462664867828,0.0801524394029404,020512
ANCASH_BOLOGNESI_PACLLON,0.0,0.1398789263245305,0.0,0.0014230534661516,0.3364564162623389,0.0,0.0466263087748435,0.1126264899094968,0.0796263993421701,020513
ANCASH_BOLOGNESI_SAN MIGUEL DE CORPANQUI,0.0,0.0272440751387523,0.0,0.0005082333807684,0.2733812949640286,0.0,0.0090813583795841,0.0912965094482656,0.0501889339139249,020514
ANCASH_BOLOGNESI_TICLLOS,0.1333333333333333,0.0670077583799705,0.0,0.0007115267330758,0.252452583387835,0.0,0.0667803639044346,0.0843880367069703,0.0755842003057024,020515
ANCASH_CARHUAZ_ACOPAMPA,0.0,0.0281628289095771,0.001899726767507,0.0042013959476858,0.2772374100719423,0.0,0.0100208518923614,0.093812935339876,0.0519168936161187,020602
ANCASH_CARHUAZ_AMANTANI,0.0,0.110464845200934,0.0,0.0036931625669173,0.3928621808435604,0.0,0.036821615066978,0.1321851144701592,0.0845033647685686,
ANCASH_CARHUAZ_AMASHCA,0.0,0.014601429043912,0.0,0.0029138713830724,0.2779293806334242,0.0,0.0048671430146373,0.0936144173388322,0.0492407801767347,020603
ANCASH_CARHUAZ_ANTA,0.0,0.0533026932815783,0.0003342043028189,0.0035576336653791,0.375729604995249,0.0,0.0178789658614657,0.1264290795535427,0.0721540227075042,020604
ANCASH_CARHUAZ_ATAQUERO,0.0625,0.0411772807334925,0.0,0.0026766958053804,0.3091726618705035,0.0,0.0345590935778308,0.1039497858919613,0.069254439734896,020605
ANCASH_CARHUAZ_CARHUAZ,0.0394736842105263,0.0585941321148076,0.000652829313793,0.0231076777122721,0.3693080674552598,0.0,0.0329068818797089,0.1308052483891773,0.0818560651344431,020601
ANCASH_CARHUAZ_MARCARA,0.0373831775700934,0.0502390862569931,0.0,0.0124347767161347,0.4022521113543948,0.0,0.0292074212756955,0.1382289626901765,0.083718191982936,020606
ANCASH_CARHUAZ_PARIAHUANCA,0.0232558139534883,0.0435254003719034,0.0,0.002947753608457,0.3445062132112491,0.0,0.0222604047751305,0.115817988939902,0.0690391968575163,020607
ANCASH_CARHUAZ_SAN MIGUEL DE ACO,0.0,0.0497300455971021,0.0007694889108788,0.0028461069323033,0.3943292424883622,0.0,0.016833178169327,0.1323917831402218,0.0746124806547744,020608
ANCASH_CARHUAZ_SHILLA,0.0317460317460317,0.0313243623347328,0.0002849784054399,0.0051500982584536,0.3275967461325058,0.0,0.0211184574954014,0.1109156147969864,0.0660170361461939,020609
ANCASH_CARHUAZ_TINCO,0.0,0.0279071749855898,0.0,0.004336924849224,0.4014834643912774,0.0,0.0093023916618632,0.1352734630801672,0.0722879273710152,020610
ANCASH_CARHUAZ_YUNGAR,0.0571428571428571,0.0453322076043944,0.001299714477333,0.0038625736938402,0.3934313418830153,0.0,0.0345915930748615,0.1324313051922851,0.0835114491335733,020611
ANCASH_CARLOS FERMIN FITZCARRALD_SAN LUIS,0.0227272727272727,0.0331498648156055,0.0002701507471474,0.0147726502676695,0.3532752745172283,0.0,0.0187157627633418,0.1226826415949659,0.0706992021791539,020701
ANCASH_CARLOS FERMIN FITZCARRALD_SAN NICOLAS,0.0273972602739726,0.0463891563189787,0.0,0.0027783424815341,0.4494235936551962,0.0,0.0245954721976504,0.1507339787122434,0.0876647254549469,020702
ANCASH_CARLOS FERMIN FITZCARRALD_YAUYA,0.0,0.0243162172139141,0.0007407053928036,0.0066747984007589,0.4025143521546399,0.0,0.0083523075355725,0.1363963835184663,0.0723743455270194,020703
